Fuel_consumption,Accelerator_Pedal_value,Absolute_throttle_position,Engine_speed,Current_Gear,Gear_Selection,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Calculated_road_gradient,Steering_wheel_speed,Steering_wheel_angle
268.8,0.0,13.3,929,0,0,-8.5,1,0.0,0,-3.4
243.2,0.0,13.7,726,0,0,0.1,1,0.0,0,-3.6
217.6,0.0,13.7,685,0,0,0.1,1,0.0,0,-3.6
204.8,0.0,13.3,675,0,0,0.1,1,0.0,0,-3.6
217.6,0.0,13.7,716,0,0,0.1,1,0.0,0,-3.5
243.2,0.0,13.7,740,0,0,0.0,2,0.0,0,-3.4
217.6,0.0,13.7,682,14,7,0.0,2,0.0,0,-3.6
294.4,0.0,14.5,670,14,7,0.0,2,0.0,0,-1.6
332.8,0.0,14.5,655,14,7,0.0,2,0.0,8,7.9
358.4,0.0,14.9,648,14,7,-0.1,2,0.0,0,7.7
409.6,0.0,15.3,659,14,7,-0.2,2,0.0,0,5.9
435.2,0.0,14.9,663,14,7,-0.1,2,0.0,0,4.8
384.0,0.0,14.9,659,14,7,0.0,2,0.0,8,-7.3
396.8,0.0,14.9,668,14,7,-0.1,2,0.0,0,-7.3
473.6,0.0,16.1,742,14,7,-0.1,2,0.0,0,-7.3
473.6,0.0,15.7,759,14,7,0.0,2,0.0,0,-4.8
473.6,0.0,15.7,761,14,7,-0.2,2,0.0,8,0.8
473.6,0.0,15.7,766,14,7,-0.1,2,0.0,0,0.6
473.6,0.0,16.1,769,14,7,-0.1,2,0.0,0,0.5
473.6,0.0,15.7,768,14,7,0.0,2,0.0,0,0.7
486.4,0.0,15.7,767,14,7,0.0,2,0.0,0,0.4
473.6,0.0,16.1,770,14,7,0.0,2,0.0,0,0.5
486.4,0.0,16.1,768,14,7,0.1,2,0.0,0,0.5
473.6,0.0,15.7,765,14,7,0.6,2,0.0,0,0.2
448.0,0.0,15.3,724,0,6,0.3,2,0.0,0,0.5
384.0,0.0,14.1,673,0,6,0.0,2,-3.5,0,0.3
307.2,0.0,14.1,658,0,6,0.0,2,0.0,0,0.2
307.2,0.0,14.5,658,1,5,0.0,2,0.0,0,0.5
396.8,0.0,15.3,673,1,5,0.4,1,0.0,44,84.6
435.2,0.0,15.3,726,1,5,0.3,2,0.0,160,-88.0
460.8,0.0,15.3,747,1,5,0.1,2,0.0,8,-86.2
460.8,0.0,15.7,758,1,5,0.0,1,0.0,48,-274.0
448.0,0.0,15.7,763,1,5,0.1,1,0.0,92,-347.8
486.4,0.0,16.1,796,1,5,0.0,1,0.0,16,-385.9
588.8,0.4,16.1,978,1,5,0.2,1,0.0,52,-427.5
486.4,1.2,16.1,891,1,5,-0.1,1,0.0,20,-400.8
550.4,0.4,15.7,1029,1,5,0.3,1,0.0,100,-294.3
422.4,0.0,15.3,854,1,5,-0.1,1,0.0,28,-313.4
524.8,0.8,16.1,975,1,5,0.2,1,0.0,48,-262.3
512.0,0.8,16.1,999,1,5,0.2,1,0.0,64,-333.8
524.8,2.7,16.1,1064,1,5,0.0,1,0.0,44,-378.8
742.4,8.6,18.0,1277,1,5,0.4,1,0.0,40,-323.6
832.0,9.4,18.0,1453,1,5,0.4,1,-1.0,120,-198.0
844.8,9.8,18.0,1643,1,5,0.4,1,0.0,88,-113.6
627.2,0.8,15.7,1610,1,5,0.0,1,0.0,52,-63.5
409.6,0.0,15.7,1112,1,5,-0.1,1,0.0,12,-50.5
960.0,11.3,19.2,1666,1,5,0.4,1,0.0,0,-43.7
1190.4,12.9,20.8,1786,2,5,0.7,1,0.0,8,-34.0
1254.4,10.9,21.2,1692,2,5,0.7,1,0.0,0,-21.4
896.0,7.8,18.0,1717,2,5,0.2,1,0.5,12,-12.5
627.2,0.4,16.1,1664,2,5,-0.1,1,1.0,20,-3.9
460.8,0.0,15.3,1466,2,5,-0.4,1,1.0,16,9.4
921.6,14.1,19.2,1634,2,5,0.2,1,1.0,8,-6.8
1753.6,16.8,25.1,2011,2,5,1.0,1,1.0,4,5.1
1228.8,6.2,19.6,2072,2,5,0.4,1,1.0,12,-0.5
537.6,0.0,15.7,1450,3,5,-0.2,1,1.0,12,4.0
512.0,0.0,15.7,1306,3,5,-0.2,1,0.0,16,24.6
486.4,0.0,15.7,1262,3,5,-0.2,1,0.0,8,10.9
460.8,0.0,15.3,1206,3,5,-0.2,1,0.0,24,-12.0
435.2,0.0,15.3,1138,3,5,-0.2,1,0.0,20,24.4
435.2,0.0,15.3,1080,3,5,-0.3,1,1.0,72,96.2
537.6,3.9,16.5,1169,3,5,-0.2,1,1.0,64,164.9
1100.8,16.8,21.6,1507,3,5,0.2,1,1.0,56,214.5
1792.0,21.5,47.1,1766,3,5,0.7,1,1.5,84,116.3
2073.6,28.9,83.5,1858,3,5,1.0,1,4.5,64,56.7
2176.0,30.1,83.9,1898,3,5,1.1,1,8.0,32,20.3
2252.8,30.9,83.9,1956,3,5,1.1,1,8.5,16,3.3
2316.8,35.9,83.9,2010,3,5,1.1,1,9.5,4,-2.3
2393.6,36.3,83.9,2076,3,5,1.1,1,9.5,4,0.3
2483.2,30.9,83.9,2129,3,5,1.1,1,9.5,0,1.9
2534.4,21.5,81.6,2180,3,5,1.1,1,9.0,0,9.0
1600.0,8.2,25.5,2028,3,5,0.6,1,8.0,8,10.0
742.4,5.9,16.9,1830,3,5,0.0,1,7.5,0,9.1
819.2,10.2,17.6,1797,3,5,0.1,1,6.0,8,0.0
857.6,10.2,18.0,1776,3,5,0.1,1,5.0,4,8.8
1049.6,15.2,20.0,1824,3,5,0.3,1,3.5,12,22.0
1920.0,23.4,29.8,2035,3,5,0.7,1,3.0,20,43.0
2457.6,18.4,66.7,2212,3,5,1.0,1,3.5,24,7.5
793.6,0.0,16.1,1886,3,5,-0.2,2,4.0,28,-21.4
985.6,0.0,19.6,1464,4,5,-0.7,2,4.0,36,-65.0
755.2,0.0,17.6,1245,4,5,-0.6,1,4.0,76,-93.5
1536.0,16.4,26.3,1803,3,5,0.6,1,4.0,52,-39.9
2124.8,14.5,65.9,1965,3,5,1.0,1,4.0,48,10.5
1075.2,0.0,19.6,1645,3,5,0.4,1,4.0,12,7.3
1907.2,21.5,44.7,1897,3,5,0.9,1,4.0,4,7.0
1625.6,4.7,40.0,1813,3,5,0.8,1,4.0,0,3.3
832.0,0.8,18.4,1536,3,5,0.3,1,4.0,8,-8.0
1856.0,19.9,40.8,1842,3,5,0.9,1,4.0,0,-12.9
2227.2,30.9,82.7,1960,3,5,1.1,1,4.0,60,-70.0
2355.2,35.5,83.9,2045,3,5,1.3,1,4.0,64,-1.4
2380.8,34.8,83.9,2061,3,5,1.2,1,4.0,28,20.9
1651.2,6.2,42.0,1882,3,5,0.8,1,6.0,12,36.1
665.6,0.0,16.5,1518,3,5,0.1,1,8.5,20,14.9
588.8,0.0,16.5,1334,3,5,0.0,1,9.5,12,3.0
537.6,0.0,16.1,1157,3,5,-0.1,2,9.5,16,17.2
537.6,0.0,16.1,996,3,5,-0.8,2,8.0,0,15.1
665.6,7.4,19.6,982,3,5,0.1,1,3.5,12,38.2
1766.4,28.5,68.6,1730,1,5,1.8,1,1.5,56,91.4
2380.8,32.8,83.9,2146,1,5,2.2,1,0.0,120,-32.2
3187.2,38.3,83.9,2682,1,5,2.3,1,0.0,0,-20.6
4006.4,33.2,77.3,3385,1,5,2.3,1,0.0,8,-4.1
1651.2,6.2,20.8,2474,2,5,0.8,1,0.0,0,-7.7
435.2,0.0,14.9,1450,3,5,-0.1,1,0.0,4,-2.0
460.8,0.0,15.3,1159,3,5,-0.2,2,0.0,8,4.8
499.2,0.0,16.1,978,3,5,-1.5,2,0.0,12,5.9
524.8,0.0,15.7,886,3,5,-0.3,1,0.0,0,4.8
563.2,4.7,16.9,958,1,5,0.5,1,-1.0,0,3.7
755.2,1.2,17.3,1242,1,5,1.1,1,0.0,8,-6.6
704.0,12.5,18.8,1132,1,5,0.9,1,0.0,0,-10.2
1152.0,6.6,20.8,1536,1,5,1.6,1,0.0,44,-55.8
563.2,1.6,15.7,1233,1,5,0.3,1,0.0,100,-170.9
409.6,0.0,14.9,997,1,5,-0.1,2,0.0,64,-191.3
448.0,0.0,16.1,809,1,5,-0.6,2,0.0,52,-136.2
486.4,0.0,15.7,786,1,5,-0.3,2,0.0,4,-131.5
422.4,0.0,15.3,702,1,5,0.2,2,0.0,0,-131.2
409.6,0.0,14.9,687,1,5,0.2,2,0.0,0,-131.5
371.2,0.0,14.9,682,1,5,0.2,2,0.0,0,-131.2
371.2,0.0,14.9,678,1,5,0.2,2,0.0,0,-131.2
384.0,0.0,14.9,678,1,5,0.2,2,0.0,0,-131.2
358.4,0.0,14.9,673,1,5,0.2,2,0.0,0,-131.4
448.0,3.1,16.9,755,1,5,0.6,1,0.0,144,10.0
1024.0,4.7,23.9,1353,1,5,1.6,2,0.0,60,-63.1
448.0,0.0,14.9,924,1,5,-0.3,2,0.0,80,-141.1
422.4,0.0,15.3,805,1,5,-0.5,2,0.0,40,-172.6
460.8,0.0,15.7,789,1,5,-0.1,2,0.0,24,-152.1
